"fold","part","maximo","minimo","mediana","media","primeiroQuadrante","terceiroQuadrante","valueSilhouete"
1,2,0.248759025676114,-0.196562641403974,-0.0314254336372881,-0.00266362075060898,-0.0799520570904323,0.0458630027025352,-0.00266362075060898
1,3,0,-0.342010492810956,-0.0824721543229615,-0.12673870036422,-0.209210854687181,0,-0.12673870036422
2,2,0.250245958219004,-0.194379866799932,-0.0341557691914737,-0.00311136174096882,-0.0783668969858419,0.0410997660533994,-0.00311136174096882
2,3,0,-0.345346329292023,-0.0831724892174537,-0.127922826931733,-0.211095316149186,0,-0.127922826931733
3,2,0.250984875887139,-0.193456266320403,-0.0341198497997045,-0.00267777250816845,-0.0795223851961463,0.0427247628882733,-0.00267777250816845
3,3,0,-0.343669876686106,-0.0839748528310781,-0.127904895587066,-0.211879748418144,0,-0.127904895587066
4,2,0.250245958219004,-0.19454801406151,-0.0340828905014108,-0.00311695921133202,-0.0811737350610703,0.0439738853483275,-0.00311695921133202
4,3,0,-0.342010492810956,-0.0847726007313001,-0.127888923568389,-0.212661524299689,0,-0.127888923568389
5,2,0.25197682664331,-0.197090930141697,-0.0320526754237747,-0.00230486358648424,-0.0823177690065644,0.0479602299963054,-0.00230486358648424
5,3,0,-0.343267398461395,-0.0844161652998013,-0.128024932265249,-0.212441097565051,0,-0.128024932265249
6,2,0,-0.325415403918208,-0.224249214235395,-0.193478458097249,-0.267431634153499,-0.150296038179146,-0.193478458097249
6,3,0,-0.343267398461395,-0.0844161652998013,-0.128024932265249,-0.212441097565051,0,-0.128024932265249
7,2,0,-0.32471579937838,-0.221967428213441,-0.192162663951316,-0.264345135001465,-0.149784957163292,-0.192162663951316
7,3,0,-0.30508562908371,-0.0956962299686801,-0.124119522255268,-0.219815752223948,0,-0.124119522255268
8,2,0.208138368521411,0,0.173938563576834,0.13900387391877,0.110052343377701,0.202890094117903,0.13900387391877
8,3,0.195755938387918,-0.13778131971548,0,0.0144936546681096,-0.03444532992887,0.0489389845969796,0.0144936546681096
9,2,0.250245958219004,-0.197616413733173,-0.0359050260607309,-0.00479512690890775,-0.0846740383179661,0.0439738853483275,-0.00479512690890775
9,3,0.199156562759946,-0.13778131971548,0,0.0153438107611165,-0.03444532992887,0.0497891406899865,0.0153438107611165
10,2,0.249504016019723,-0.195641182250237,-0.0313896257453812,-0.00222910443031921,-0.0810955017766073,0.0474767716009069,-0.00222910443031921
10,3,0,-0.340367902678475,-0.0832697249570118,-0.126726838148125,-0.209996563105137,0,-0.126726838148125
