"fold","part","maximo","minimo","mediana","media","primeiroQuadrante","terceiroQuadrante","valueSilhouete"
1,2,0.248759025676114,-0.196562641403974,-0.0314254336372881,-0.00266362075060898,-0.0799520570904323,0.0458630027025352,-0.00266362075060898
2,2,0.250245958219004,-0.194379866799932,-0.0341557691914737,-0.00311136174096882,-0.0783668969858419,0.0410997660533994,-0.00311136174096882
3,2,0.250984875887139,-0.193456266320403,-0.0341198497997045,-0.00267777250816845,-0.0795223851961463,0.0427247628882733,-0.00267777250816845
4,2,0.250245958219004,-0.19454801406151,-0.0340828905014108,-0.00311695921133202,-0.0811737350610703,0.0439738853483275,-0.00311695921133202
5,2,0.25197682664331,-0.197090930141697,-0.0320526754237747,-0.00230486358648424,-0.0823177690065644,0.0479602299963054,-0.00230486358648424
6,3,0,-0.343267398461395,-0.0844161652998013,-0.128024932265249,-0.212441097565051,0,-0.128024932265249
7,3,0,-0.30508562908371,-0.0956962299686801,-0.124119522255268,-0.219815752223948,0,-0.124119522255268
8,2,0.208138368521411,0,0.173938563576834,0.13900387391877,0.110052343377701,0.202890094117903,0.13900387391877
9,3,0.199156562759946,-0.13778131971548,0,0.0153438107611165,-0.03444532992887,0.0497891406899865,0.0153438107611165
10,2,0.249504016019723,-0.195641182250237,-0.0313896257453812,-0.00222910443031921,-0.0810955017766073,0.0474767716009069,-0.00222910443031921
